task,ratio_percent,eval_f1_macro_mean,eval_f1_macro_std,eval_f1_macro_min,eval_f1_macro_max,eval_f1_macro_count,eval_auroc_mean,eval_auroc_std,eval_auroc_min,eval_auroc_max,eval_auroc_count,eval_auprc_mean,eval_auprc_std,eval_auprc_min,eval_auprc_max,eval_auprc_count,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_min,eval_accuracy_max,eval_accuracy_count,eval_matthews_correlation_mean,eval_matthews_correlation_std,eval_matthews_correlation_min,eval_matthews_correlation_max,eval_matthews_correlation_count
core_promoter,0.05,0.43260233200088827,0.035869137559233176,0.391696,0.4586767995337194,3,0.5312430081045151,0.058731487050775646,0.463438,0.5662627534715374,3,0.5283956288815491,0.04420298448952844,0.477495,0.5571244067396279,3,0.5286317567567567,0.0025083179738036748,0.5268581081081081,0.5304054054054054,2,0.0858697856493918,0.009292094185882916,0.0792992828391299,0.0924402884596537,2
core_promoter,0.1,0.5066186234155395,0.060393712855450116,0.4620095555408603,0.5753443147057582,3,0.5967951042155165,0.0365276063419793,0.555684,0.6255160624803687,3,0.5931670907266082,0.04141668849077137,0.545704,0.6219763668379836,3,0.559206081081081,0.02400818632069188,0.5422297297297297,0.5761824324324324,2,0.14510902255643826,0.011522310570417202,0.1369615186171588,0.1532565264957177,2
core_promoter,1.0,0.6809048696010905,0.00419168246205388,0.676635,0.6850137248800119,3,0.8046677670265426,0.005583488822227011,0.8010471565716331,0.811098,3,0.823142371113649,0.0044656974655326665,0.8201381019028625,0.828274,3,0.7002533783783784,0.002269430547727082,0.6986486486486486,0.7018581081081081,2,0.45484006518903214,0.0037522679878245714,0.4521868110500122,0.4574933193280521,2
core_promoter,10.0,0.7966451387736897,0.00450873366577096,0.7923635215976406,0.801351,3,0.8788274415871068,0.0033574992922769885,0.876411111019803,0.8826612137415174,3,0.8807750215300528,0.0018679405345214488,0.879398,0.8829012598839627,3,0.7945945945945946,0.003105536538994999,0.7923986486486486,0.7967905405405405,2,0.5912589738594125,0.008684160532558929,0.5851183450579275,0.5973996026608974,2
core_promoter,100.0,0.8175932296173674,0.01030228539753596,0.8062367254376419,0.8263389634144602,3,0.8834462871691295,0.020623419041906725,0.871411,0.9072596973863944,3,0.8580960371698182,0.04413946049930191,0.82502,0.9082163992855924,3,0.8163006756756757,0.014213801851553971,0.80625,0.8263513513513514,2,0.6327756412433505,0.028436656451023026,0.6126678886325599,0.6528833938541411,2
nontata_promoter,0.05,0.5287088092275779,0.02505828234573431,0.5116393993570489,0.557477,3,0.6027403709507365,0.00988316636700978,0.5928329797872401,0.6125991330649692,3,0.6243584183828085,0.018373518140951613,0.6038722744312843,0.639379,3,0.5819127739650211,0.006105194701411437,0.5775957493911889,0.5862297985388533,2,0.14129357892709155,0.017009017017217166,0.1292663876528999,0.1533207702012832,2
nontata_promoter,0.1,0.5339193508329795,0.03380584197836335,0.503886,0.5705307786253,3,0.6841164060770577,0.09097676582857983,0.6143566387262758,0.787018,3,0.7225868585321661,0.1004257125523934,0.6509752686311032,0.837381,3,0.5928713748062874,0.02003756209694004,0.5787026787690945,0.6070400708434802,2,0.16395682090083263,0.04666343636382879,0.1309607886145024,0.1969528531871629,2
nontata_promoter,1.0,0.764196620793235,0.03092449612218918,0.7292745737514854,0.7881122886282195,3,0.8183020118247152,0.02101405957831326,0.7961719960375175,0.8379860394366281,3,0.8787806120140013,0.013036554538891664,0.8642579658536117,0.8894728701883923,3,0.7620655302191721,0.03733561375093908,0.7356652645561214,0.7884657958822228,2,0.5780940872220977,0.035166365788332585,0.553227711503481,0.6029604629407141,2
nontata_promoter,10.0,0.8205694371952331,0.007418892188226789,0.813987,0.8286086660843972,3,0.9024403267934097,0.0047051019032117326,0.898601,0.9076890533090208,3,0.9351367536243452,0.002276181569650086,0.932727,0.9372503758026578,3,0.8245516936019481,0.006574825063058365,0.8199025902147443,0.8292007969891521,2,0.6862271886608895,0.010994141351060048,0.6784531567582315,0.6940012205635474,2
nontata_promoter,100.0,0.8855742077440056,0.00869749420853348,0.8771292973941669,0.894504,3,0.9373999932550864,0.01908197034234278,0.9154577069714152,0.95011,3,0.9549444504274471,0.018018337281474957,0.934199890576705,0.966698,3,0.881115784812929,0.005635564339764391,0.8771308390524685,0.8851007305733894,2,0.7750892105397122,0.008441341000920526,0.7691202810756532,0.7810581400037712,2
promoter,0.05,0.5430359557317721,0.07074473896350565,0.4751,0.6162893956685385,3,0.6075333336681429,0.04764820913718937,0.5739575628909281,0.6620684381135005,3,0.6076556737990635,0.05330629232767613,0.572786767555677,0.6690182538415134,3,0.5800675675675675,0.05183857145860842,0.5434121621621621,0.616722972972973,2,0.16212395659081136,0.10089847575340503,0.0907779601741922,0.2334699530074305,2
promoter,0.1,0.5092140785922773,0.10610659159787547,0.3881796778963376,0.586212,3,0.6726811797318479,0.06456159705038467,0.6304777884308086,0.7470027507647354,3,0.674576331254129,0.06189017489858099,0.6372646664598933,0.7460173273024934,3,0.5499155405405405,0.04025253129389638,0.5214527027027027,0.5783783783783784,2,0.16356920630092758,0.02680052507857911,0.1446183732785042,0.182520039323351,2
promoter,1.0,0.8881396341059534,0.002974239046510356,0.8848320271758459,0.890594,3,0.9395776422864448,0.006868523092566727,0.9316575354974204,0.943899,3,0.9293184082698603,0.0060850586134305745,0.9222956627893572,0.9330265620202236,3,0.8871621621621621,0.0026277616868419316,0.8853040540540541,0.8890202702702703,2,0.7768297999483016,0.0018364056353931113,0.7755312650705058,0.7781283348260972,2
promoter,10.0,0.9059646505563702,0.0036649611619009037,0.902836042610458,0.9099969090586528,3,0.9634433612138366,0.0026585097993398394,0.960456273113272,0.965549810528238,3,0.9562528531160664,0.004535502136628838,0.9526098155307756,0.961332743817424,3,0.9066722972972974,0.004897192234569052,0.9032094594594594,0.9101351351351352,2,0.816577344702641,0.007549769078150178,0.8112388517910886,0.8219158376141935,2
promoter,100.0,0.9207810967440627,0.0006887946115801276,0.920062,0.9214349458491048,3,0.9642195096409928,0.01544736407589702,0.946694916221522,0.9758606127014564,3,0.9481166413492016,0.03385256876445588,0.9098295366091048,0.9740843874385002,3,0.9211993243243244,0.00035833113911481064,0.920945945945946,0.9214527027027029,2,0.8431062615496876,0.000155638495995416,0.8429962085137556,0.8432163145856196,2
splice,0.05,0.26246918850809414,0.01789577878295076,0.242345943715742,0.276599,3,0.4585183711978018,0.008996262257091056,0.453054,0.46890158418901,3,0.31103947870919463,0.005772536705476568,0.3068453430754662,0.3176230930521178,3,0.5459228408592722,0.0227848962811097,0.5298114861902674,0.562034195528277,2,-0.0256004917328713,0.005440435997035505,-0.0294474609189865,-0.0217535225467561,2
splice,0.1,0.24165940002821426,0.0007345470681166918,0.2408468519163659,0.2422763481682769,3,0.4669943309744659,0.009701106823487356,0.4582641055820308,0.477438,3,0.31148241034635943,0.007339163302559562,0.3046216291647211,0.319221,3,0.5630206049978079,0.000464997883288058,0.5626918018412976,0.5633494081543183,2,-0.01733188963558805,0.005554909198680979,-0.0212598035988509,-0.0134039756723252,2
splice,1.0,0.24088867704201467,2.7968981964421717e-07,0.240888515563022,0.240889,3,0.5135905231604081,0.012977665595795333,0.4989540206493377,0.5236925488318868,3,0.3444808311912135,0.007296830753334871,0.3361314387878223,0.3496350547858181,3,0.5657606313020604,0.0,0.5657606313020604,0.5657606313020604,2,0.0,0.0,0.0,0.0,2
splice,10.0,0.6729776836288809,0.09069803968491033,0.5711360346819467,0.745049,3,0.8479006086744375,0.04132711406703878,0.8030333480114962,0.88441,3,0.721830283765084,0.07830116073206579,0.6420452361062878,0.798558,3,0.6854449802718106,0.04835977986194716,0.6512494519947392,0.7196405085488821,2,0.48289818242708304,0.09459436436527639,0.416009865922365,0.5497864989318011,2
splice,100.0,0.8877374127174856,0.0062979863010141955,0.8806263826859362,0.8926118554665208,3,0.9643261951326267,0.005003980607651986,0.9587364061340508,0.9683881792638296,3,0.9347509883059134,0.007845970218194701,0.9257801373277066,0.9403328275900336,3,0.892371766768961,0.007749964721465881,0.886891714160456,0.897851819377466,2,0.819122390443273,0.013185156710987916,0.8097990767219261,0.8284457041646198,2
